,Set,Time/Thread,Max_Time/Thread
0,set1_Thread-1,20.53257242450353,20.53257242450353
1,set2_Thread-2,30.810053942545565,30.810053942545565
2,set2_Thread-3,20.628617493096826,30.810053942545565
3,set3_Thread-4,30.86770570872892,41.214874949675234
4,set3_Thread-5,41.214874949675234,41.214874949675234
5,set3_Thread-6,30.96234751539133,41.214874949675234
6,set4_Thread-7,30.72531054401125,41.24228940691188
7,set4_Thread-8,30.87611408407534,41.24228940691188
8,set4_Thread-9,41.24228940691188,41.24228940691188
9,set4_Thread-10,30.957209374797372,41.24228940691188
10,set5_Thread-11,51.81995748228309,82.75685501383902
11,set5_Thread-12,82.75685501383902,82.75685501383902
12,set5_Thread-13,51.73749998250588,82.75685501383902
13,set5_Thread-14,51.41957625035167,82.75685501383902
14,set5_Thread-15,30.72851173529108,82.75685501383902
