,Pull_Time,Push_Time
0,0.0,14.713940296989222
1,0.0,14.53501880268368
2,0.0,14.56022666785475
3,0.0,14.519289486685011
4,0.0,14.543383792604345
5,0.0,14.583979955000359
6,0.0,14.521729333725943
7,0.0,14.606205888568638
8,0.0,14.494168392364827
9,0.0,14.495728868148944
10,0.0,14.518620044906129
11,0.0,14.588662781882704
12,0.0,14.6126717164816
13,0.0,14.612533163026
14,0.0,14.778687679518953
15,0.0,14.60787272862126
16,0.0,14.75057578990618
17,0.0,14.530342040430241
18,0.0,14.43068431878146
19,0.0,14.538090770707186
20,0.0,14.544170328380915
21,0.0,14.654302597947208
22,0.0,14.584454395620014
23,0.0,14.529818149756466
24,0.0,14.514794663312841
25,0.0,14.552689733096031
26,0.0,14.647228907569115
27,0.0,14.485462383669983
28,0.0,14.5557896917162
29,0.0,14.57357631659579
30,0.0,14.703389707950919
31,0.0,14.54383537423655
32,0.0,14.50325274062925
33,0.0,14.575267415166309
34,0.0,14.616355279049912
35,0.0,14.505796152879157
36,0.0,14.544111081617302
37,0.0,14.599756855013766
38,0.0,14.67705662077924
39,0.0,14.520633035342598
40,0.0,14.479027811923515
41,0.0,14.61417901013101
42,0.0,14.43365552065552
43,0.0,14.498688873784431
44,0.0,14.525799633043334
45,0.0,14.50016677730764
46,0.0,14.651878612244673
47,0.0,14.545788184889261
48,0.0,14.491515350276586
49,0.0,14.580925247845244
50,0.0,14.534949759210576
51,0.0,14.45599155057198
52,0.0,14.576807831022506
53,0.0,14.58223893986542
54,0.0,14.592856706336988
55,0.0,14.630589897167283
56,0.0,14.563160082422655
57,0.0,14.797089631023027
58,0.0,14.679939652272424
59,0.0,14.590441584323798
60,0.0,14.53839166962507
61,0.0,14.63133957865739
62,0.0,14.658805818498422
63,0.0,14.770106695490995
64,0.0,14.691512831122964
65,0.0,14.823177800471058
66,0.0,14.604105194261592
67,0.0,14.489590063711603
68,0.0,14.486459781943722
69,0.0,14.642065108927909
70,0.0,14.636514107027779
71,0.0,14.608802482952342
72,0.0,14.52724581388884
73,0.0,14.507330037596148
74,0.0,14.80687934233265
75,0.0,14.641657845741065
76,0.0,14.590950546679778
77,0.0,14.496301742367905
78,0.0,14.553730983305286
79,0.0,14.534275652332326
80,0.0,14.621310547743633
81,0.0,14.545381854722109
82,0.0,14.587768482308093
83,0.0,14.676453423413477
84,0.0,14.600769648116511
85,0.0,14.606115852147923
86,0.0,14.512221394425978
87,0.0,14.530928443437915
88,0.0,14.508251394748186
89,0.0,14.614188806839593
90,0.0,14.655032219509849
91,0.0,14.660741834793043
92,0.0,14.479521379451398
93,0.0,14.471610303711714
94,0.0,14.774601052353319
95,0.0,14.511504368632814
96,0.0,14.6367781516592
97,0.0,14.574752854690814
98,0.0,14.531320311796662
99,0.0,14.762700383517767
Total,0.0,1458.4010404104897
