,Push Time
Thread-1,0.0
Thread-2,183.1246864469996
Thread-3,-10.37566180267842
Thread-4,-20.368690744489236
Thread-5,240.55283575071016
Thread-6,226.62763315710143
Thread-7,236.93474272209485
Thread-8,229.4431420004973
Thread-9,229.11115485937756
Thread-10,220.85482070389818
