,Pull_Time,Push_Time,Total_Time
0,0,0.4143933248024041,0.4143933248024041
1,0,0.34568713883390956,0.7600804636363137
2,0,0.3618461104965718,1.1219265741328854
3,0,0.3391289419505483,1.4610555160834338
4,0,0.3919140763314317,1.8529695924148655
5,0,0.3560963753575379,2.2090659677724034
6,0,0.3567448241888087,2.565810791961212
7,0,0.3587783410625889,2.924589133023801
8,0,0.3617360141483914,3.2863251471721924
9,0,0.35420607703827045,3.640531224210463
10,0,0.3335970669586459,3.9741282911691087
11,0,0.3560040063875931,4.330132297556702
12,0,0.36194594362632415,4.692078241183026
13,0,0.3436886102058452,5.035766851388871
14,0,0.4151737959496131,5.450940647338484
15,0,0.3468478155905359,5.79778846292902
16,0,0.346312728677276,6.144101191606296
17,0,0.3461405865054985,6.490241778111795
18,0,0.35351377627239344,6.843755554384188
19,0,0.35645372197950564,7.200209276363694
20,0,0.3484194876136826,7.548628763977376
21,0,0.35298242143881,7.901611185416186
22,0,0.35573203108651796,8.257343216502704
23,0,0.35152737690305,8.608870593405754
24,0,0.36322791296970536,8.97209850637546
25,0,0.3544169395363497,9.32651544591181
26,0,0.36288876023581906,9.689404206147628
27,0,0.360305694640374,10.049709900788002
28,0,0.34972105037513757,10.39943095116314
29,0,0.3560758489197724,10.755506800082912
30,0,0.3427831143922049,11.098289914475117
31,0,0.3526465342742995,11.450936448749417
32,0,0.3600696406051611,11.811006089354578
33,0,0.35840979820204666,12.169415887556625
34,0,0.3649824568933582,12.534398344449983
35,0,0.35673969257913996,12.891138037029123
36,0,0.3625906603774638,13.253728697406586
37,0,0.36295453813863787,13.616683235545224
38,0,0.3543562932422901,13.971039528787514
39,0,0.36564350149274105,14.336683030280255
40,0,0.3579208957735318,14.694603926053787
41,0,0.3669184731875248,15.061522399241312
42,0,0.35336962469773425,15.414892023939046
43,0,0.35107812782098335,15.76597015176003
44,0,0.3582208616717253,16.124191013431755
45,0,0.3641007530868592,16.488291766518614
46,0,0.3558435269646907,16.844135293483305
47,0,0.35665712031823205,17.200792413801537
48,0,0.35523659751879677,17.556029011320334
49,0,0.352693651779191,17.908722663099525
