,Run_ID,Set_ID,Thread_ID,Time/Thread
115,run2,set_t25,Thread-341,15.746851640971954
116,run2,set_t25,Thread-342,18.639877643770205
117,run2,set_t25,Thread-343,20.801556463798534
118,run2,set_t25,Thread-344,18.709529911918253
119,run2,set_t25,Thread-345,16.756890002085356
120,run2,set_t25,Thread-346,14.152353752629324
121,run2,set_t25,Thread-347,14.770422056217058
122,run2,set_t25,Thread-348,16.97937232952222
123,run2,set_t25,Thread-349,16.443535734895477
124,run2,set_t25,Thread-350,13.925732082402419
125,run2,set_t30,Thread-351,71.2919988411893
126,run2,set_t30,Thread-352,55.00571614642263
127,run2,set_t30,Thread-353,38.72561704104851
128,run2,set_t30,Thread-354,58.546074621998514
129,run2,set_t30,Thread-355,44.861456807943114
130,run2,set_t30,Thread-356,37.11058151864859
131,run2,set_t30,Thread-357,40.3462362210455
132,run2,set_t30,Thread-358,35.37455664060599
133,run2,set_t30,Thread-359,34.1089589970411
134,run2,set_t30,Thread-360,29.589073777149224
135,run2,set_t30,Thread-361,33.460164482078426
136,run2,set_t30,Thread-362,34.17535176016531
137,run2,set_t30,Thread-363,28.00294321127717
138,run2,set_t30,Thread-364,32.40052398397643
139,run2,set_t30,Thread-365,28.89441013782084
140,run2,set_t30,Thread-366,31.60806819629056
141,run2,set_t30,Thread-367,30.5104407259455
142,run2,set_t30,Thread-368,27.58458035330682
143,run2,set_t30,Thread-369,24.027824985992993
144,run2,set_t30,Thread-370,28.18336500158398
145,run2,set_t30,Thread-371,27.354241998304587
146,run2,set_t30,Thread-372,26.25000314894214
147,run2,set_t30,Thread-373,23.29761235542287
148,run2,set_t30,Thread-374,22.58834602162642
149,run2,set_t30,Thread-375,22.276828404111484
150,run3,set_t10,Thread-376,4.3941775826106095
151,run3,set_t10,Thread-377,5.2728052222989845
152,run3,set_t10,Thread-378,5.830286479095321
153,run3,set_t10,Thread-379,4.9844190341657395
154,run3,set_t10,Thread-380,4.439565735217457
155,run3,set_t15,Thread-381,6.8224313845503275
156,run3,set_t15,Thread-382,11.930777854026246
157,run3,set_t15,Thread-383,11.306083243102648
158,run3,set_t15,Thread-384,11.047373152445743
159,run3,set_t15,Thread-385,11.577007497281556
160,run3,set_t15,Thread-386,11.443047765487336
161,run3,set_t15,Thread-387,10.30318901536998
162,run3,set_t15,Thread-388,8.342318470481814
163,run3,set_t15,Thread-389,9.493042237344298
164,run3,set_t15,Thread-390,9.19418243431437
165,run3,set_t20,Thread-391,12.08601370512929
166,run3,set_t20,Thread-392,15.598889146506053
167,run3,set_t20,Thread-393,18.436066444079188
168,run3,set_t20,Thread-394,14.884357781409335
169,run3,set_t20,Thread-395,17.943711842401626
170,run3,set_t20,Thread-396,9.694041315054392
171,run3,set_t20,Thread-397,15.381434396804934
172,run3,set_t20,Thread-398,15.928864696719756
173,run3,set_t20,Thread-399,12.241817765351925
174,run3,set_t20,Thread-400,14.220759506190007
175,run3,set_t20,Thread-401,11.996943893314892
176,run3,set_t20,Thread-402,13.137108673959347
177,run3,set_t20,Thread-403,10.966280194273395
178,run3,set_t20,Thread-404,9.889244473140025
179,run3,set_t20,Thread-405,9.535269318527071
180,run3,set_t25,Thread-406,4.444591446913364
181,run3,set_t25,Thread-407,25.402549103670935
182,run3,set_t25,Thread-408,18.269778972250606
183,run3,set_t25,Thread-409,21.29067955104938
184,run3,set_t25,Thread-410,16.938557840469457
185,run3,set_t25,Thread-411,16.12038522525654
186,run3,set_t25,Thread-412,18.913693326621797
187,run3,set_t25,Thread-413,20.15315988182374
188,run3,set_t25,Thread-414,18.94569171063131
189,run3,set_t25,Thread-415,18.542016451939844
190,run3,set_t25,Thread-416,16.356971548024603
191,run3,set_t25,Thread-417,20.93967839737047
192,run3,set_t25,Thread-418,20.24441016114656
193,run3,set_t25,Thread-419,20.253990875998397
194,run3,set_t25,Thread-420,19.466024780075486
195,run3,set_t25,Thread-421,18.96240489611523
196,run3,set_t25,Thread-422,17.899602860079312
197,run3,set_t25,Thread-423,17.910632088327247
198,run3,set_t25,Thread-424,14.953413849840672
199,run3,set_t25,Thread-425,14.09577915792147
200,run3,set_t30,Thread-426,5.437324621415655
201,run3,set_t30,Thread-427,7.863436676172569
202,run3,set_t30,Thread-428,26.8481636069057
203,run3,set_t30,Thread-429,17.744875038312102
204,run3,set_t30,Thread-430,28.775163663353396
205,run3,set_t30,Thread-431,16.57283316624489
206,run3,set_t30,Thread-432,19.547612705305255
207,run3,set_t30,Thread-433,25.99962539250987
208,run3,set_t30,Thread-434,30.51173295850822
209,run3,set_t30,Thread-435,25.23679531922562
210,run3,set_t30,Thread-436,23.399485532826702
211,run3,set_t30,Thread-437,25.78153152417667
212,run3,set_t30,Thread-438,27.295671207519035
213,run3,set_t30,Thread-439,23.356106172066575
214,run3,set_t30,Thread-440,24.61535928030594
215,run3,set_t30,Thread-441,24.520676420767586
216,run3,set_t30,Thread-442,22.880745128353055
217,run3,set_t30,Thread-443,20.473594370531146
218,run3,set_t30,Thread-444,19.81617408658508
219,run3,set_t30,Thread-445,23.16597491016205
220,run3,set_t30,Thread-446,21.72360498363264
221,run3,set_t30,Thread-447,21.703644888893677
222,run3,set_t30,Thread-448,21.15727729864625
223,run3,set_t30,Thread-449,18.764477319919024
224,run3,set_t30,Thread-450,16.874086631830778
