,Run_ID,Triple_Size,Push_Time
0,Run1,450,0.62902568930344
1,Run1,1532,2.4279645657702056
2,Run1,2154,7.372082738338768
3,Run1,88,0.11392639499304202
4,Run1,40,0.09771237515610487
5,Run1,371,0.2771171737707583
6,Run1,4359,14.309846112362655
7,Run1,1532,2.4436243717860364
8,Run1,1532,2.4778092879332085
9,Run1,5226,10.245487799132011
10,Run2,450,0.3711445868284642
11,Run2,86,0.10609555896522238
12,Run2,125,0.13646302418807466
13,Run2,88,0.10330909503134222
14,Run2,2154,7.2834038618626735
15,Run2,371,0.27238396381375907
16,Run2,40,0.09273611351493827
17,Run2,5226,10.27494230438188
18,Run2,1532,2.486938887663001
19,Run2,24,0.08696865099784645
20,Run3,86,0.09001822654376213
21,Run3,371,0.2455092585897347
22,Run3,86,0.08450314590986352
23,Run3,2560,3.0834894197875826
24,Run3,30,0.09294930856226813
25,Run3,86,0.09210119347240209
26,Run3,2154,7.288992184558808
27,Run3,5226,10.295186037170566
28,Run3,30,0.10111883081410156
29,Run3,40,0.09996095311714726
