ID,Name,Description,Type,CHEBI,Source,GenBank,Composition_File,Concentration,Concentration_Units,Volume,Volume_Units
silicon_dioxide,Silicon Dioxide,,CHEBI,CHEBI:30563,,,,,,,
ddH2O,ddH2O (sterile ultra-pure water),,CHEBI,CHEBI:15377,,,,,,,
